PROGRAM,DATASET,N,AVERAGE_TIME,SPEEDUP
serial,SMALL,1,142.66725159000000000000,1
serial,MEDIUM,1,282.50238037000000000000,1
serial,LARGE,1,565.20678711000000000000,1
pthread,SMALL,2,71.84294128000000000000,1.98582141889166261596
pthread,SMALL,4,45.85351944000000000000,3.11136971234415676076
pthread,SMALL,8,33.42316055000000000000,4.26851468389933578558
pthread,SMALL,16,33.64240265000000000000,4.24069746368129863638
pthread,MEDIUM,2,142.77107239000000000000,1.97870882133814586527
pthread,MEDIUM,4,92.75209045000000000000,3.04577911936431185848
pthread,MEDIUM,8,66.50142670000000000000,4.24806495722895520976
pthread,MEDIUM,16,65.61778259000000000000,4.30527166904071392211
pthread,LARGE,2,281.13626099000000000000,2.01043716352941170984
pthread,LARGE,4,180.34111023000000000000,3.13409841155550925322
pthread,LARGE,8,140.11369324000000000000,4.03391541568931667681
pthread,LARGE,16,131.26841736000000000000,4.30573323330269181208
mpi,SMALL,2,76.28116608000000000000,1.87028147210515217126
mpi,SMALL,4,47.22192001000000000000,3.02120819229264540868
mpi,SMALL,8,33.95671082000000000000,4.20144496168254025258
mpi,SMALL,16,38.84968948000000000000,3.67228808002302725226
mpi,MEDIUM,2,149.68472290000000000000,1.88731605267914752574
mpi,MEDIUM,4,93.18371582000000000000,3.03167112283546196108
mpi,MEDIUM,8,64.11308289000000000000,4.40631408810421033241
mpi,MEDIUM,16,75.94544983000000000000,3.71980653221973285400
mpi,LARGE,2,296.62136841000000000000,1.90548236676176420853
mpi,LARGE,4,183.25979614000000000000,3.08418321429439084390
mpi,LARGE,8,126.37877655000000000000,4.47232361745790298204
mpi,LARGE,16,139.12252808000000000000,4.06265466068146509776
mpi-pthread,SMALL,2,71.61939240000000000000,1.99201985396904875166
mpi-pthread,SMALL,4,35.32746124000000000000,4.03842355443484452323
mpi-pthread,SMALL,8,35.06829071000000000000,4.06826933111163318515
mpi-pthread,SMALL,16,41.74503708000000000000,3.41758593522370396227
mpi-pthread,MEDIUM,2,141.01397705000000000000,2.00336439181366950886
mpi-pthread,MEDIUM,4,61.33939743000000000000,4.60556171410697863453
mpi-pthread,MEDIUM,8,65.36115265000000000000,4.32217561833343831031
mpi-pthread,MEDIUM,16,77.99288940000000000000,3.62215559063516372301
mpi-pthread,LARGE,2,285.98797607000000000000,1.97633059570188663561
mpi-pthread,LARGE,4,125.45046234000000000000,4.50541812734143487414
mpi-pthread,LARGE,8,127.02419281000000000000,4.44959951806522327941
mpi-pthread,LARGE,16,151.64135742000000000000,3.72726014015128301137
