PROGRAM,DATASET,THREADS,PROCESSES,PARALLEL_TIME,SPEEDUP
serial,SMALL,1,1,179.12000000000000000000,1
serial,MEDIUM,1,1,354.54400000000000000000,1
serial,LARGE,1,1,523.24800000000000000000,1
pthread,SMALL,2,1,177.16800000000000000000,1.01101779102320960895
pthread,SMALL,4,1,179.38600000000000000000,.99851716410422218010
pthread,SMALL,8,1,181.23800000000000000000,.98831370904556439598
pthread,SMALL,16,1,176.04600000000000000000,1.01746134533019778921
pthread,MEDIUM,2,1,338.26600000000000000000,1.04812189223865242146
pthread,MEDIUM,4,1,344.23600000000000000000,1.02994457290928316619
pthread,MEDIUM,8,1,344.31600000000000000000,1.02970527073966937348
pthread,MEDIUM,16,1,343.49000000000000000000,1.03218143177385076712
pthread,LARGE,2,1,499.31600000000000000000,1.04792956764854320710
pthread,LARGE,4,1,513.11800000000000000000,1.01974204763816510042
pthread,LARGE,8,1,516.10600000000000000000,1.01383824253157297144
pthread,LARGE,16,1,514.61200000000000000000,1.01678157524503898082
mpi,SMALL,1,2,167.89200000000000000000,1.06687632525671264860
mpi,SMALL,1,4,173.29600000000000000000,1.03360723848213461360
mpi,SMALL,1,8,174.65600000000000000000,1.02555881275192378160
mpi,MEDIUM,1,2,333.87400000000000000000,1.06190958265693045879
mpi,MEDIUM,1,4,344.19000000000000000000,1.03008222202853075336
mpi,MEDIUM,1,8,346.32000000000000000000,1.02374682374682374682
mpi,LARGE,1,2,493.05800000000000000000,1.06123011897180453415
mpi,LARGE,1,4,501.74200000000000000000,1.04286266647001845570
mpi,LARGE,1,8,504.99400000000000000000,1.03614696412234600807
mpi-pthread,SMALL,2,2,166.69000000000000000000,1.07456956026156338112
mpi-pthread,SMALL,4,2,171.63200000000000000000,1.04362822783630092290
mpi-pthread,SMALL,8,2,180.40200000000000000000,.99289364862917262558
mpi-pthread,SMALL,16,2,194.49000000000000000000,.92097280065813152347
mpi-pthread,SMALL,2,4,171.04200000000000000000,1.04722816618140573660
mpi-pthread,SMALL,4,4,173.75000000000000000000,1.03090647482014388489
mpi-pthread,SMALL,8,4,181.74400000000000000000,.98556210934061096927
mpi-pthread,SMALL,16,4,192.98400000000000000000,.92815984744849313932
mpi-pthread,SMALL,2,8,171.59600000000000000000,1.04384717592484673302
mpi-pthread,SMALL,4,8,175.34600000000000000000,1.02152315992380778574
mpi-pthread,SMALL,8,8,182.78800000000000000000,.97993303717968356784
mpi-pthread,SMALL,16,8,193.70000000000000000000,.92472896231285493030
mpi-pthread,MEDIUM,2,2,331.39600000000000000000,1.06984996801409793721
mpi-pthread,MEDIUM,4,2,341.38000000000000000000,1.03856113421993086882
mpi-pthread,MEDIUM,8,2,358.27800000000000000000,.98957792552152239322
mpi-pthread,MEDIUM,16,2,386.87200000000000000000,.91643747802890878636
mpi-pthread,MEDIUM,2,4,340.02400000000000000000,1.04270286803284474037
mpi-pthread,MEDIUM,4,4,345.26200000000000000000,1.02688393162294141840
